"begin_yearmonth","episode_id","state","cz_name","event_type","fips"
199206,NA,"Alabama","Macon","Thunderstorm Wind","001087"
199207,NA,"Alabama","Tuscaloosa","Thunderstorm Wind","001125"
199206,NA,"Alabama","Marshall","Thunderstorm Wind","001095"
199211,NA,"Alabama","Mobile","Thunderstorm Wind","001097"
199211,NA,"Alabama","Mobile","Thunderstorm Wind","001097"
199211,NA,"Alabama","Dekalb","Tornado","001049"
199211,NA,"Alabama","Jackson","Thunderstorm Wind","001071"
199211,NA,"Alabama","Tallapoosa","Tornado","001123"
199211,NA,"Alabama","Randolph","Tornado","001111"
199211,NA,"Alabama","Cleburne","Thunderstorm Wind","001029"
199211,NA,"Alabama","Tallapoosa","Thunderstorm Wind","001123"
199211,NA,"Alabama","Cleburne","Tornado","001029"
199211,NA,"Alabama","Lee","Thunderstorm Wind","001081"
199211,NA,"Alabama","Russell","Thunderstorm Wind","001113"
199211,NA,"Alabama","Geneva","Tornado","001061"
199203,NA,"Alabama","Dallas","Thunderstorm Wind","001047"
199208,NA,"Alabama","Madison","Thunderstorm Wind","001089"
199208,NA,"Alabama","Elmore","Thunderstorm Wind","001051"
199208,NA,"Alabama","Limestone","Thunderstorm Wind","001083"
199208,NA,"Alabama","Macon","Thunderstorm Wind","001087"
199208,NA,"Alabama","Lawrence","Thunderstorm Wind","001079"
199208,NA,"Alabama","Pike","Thunderstorm Wind","001109"
199208,NA,"Alabama","Tallapoosa","Thunderstorm Wind","001123"
199208,NA,"Alabama","Lee","Thunderstorm Wind","001081"
199208,NA,"Alabama","Macon","Thunderstorm Wind","001087"
199208,NA,"Alabama","Chambers","Thunderstorm Wind","001017"
199208,NA,"Alabama","Lee","Thunderstorm Wind","001081"
199208,NA,"Alabama","Barbour","Thunderstorm Wind","001005"
199208,NA,"Alabama","Clay","Thunderstorm Wind","001027"
199209,NA,"Alabama","Lawrence","Thunderstorm Wind","001079"
199209,NA,"Alabama","Morgan","Thunderstorm Wind","001103"
199209,NA,"Alabama","Cherokee","Thunderstorm Wind","001019"
199208,NA,"Alabama","Blount","Thunderstorm Wind","001009"
199208,NA,"Alabama","Montgomery","Tornado","001101"
199208,NA,"Alabama","Crenshaw","Thunderstorm Wind","001041"
199211,NA,"Alabama","Baldwin","Tornado","001003"
199211,NA,"Alabama","Baldwin","Thunderstorm Wind","001003"
199211,NA,"Alabama","Mobile","Thunderstorm Wind","001097"
199211,NA,"Alabama","Baldwin","Thunderstorm Wind","001003"
199209,NA,"Alabama","Lauderdale","Thunderstorm Wind","001077"
199209,NA,"Alabama","Walker","Thunderstorm Wind","001127"
199210,NA,"Alabama","Blount","Thunderstorm Wind","001009"
199210,NA,"Alabama","Pickens","Thunderstorm Wind","001107"
199211,NA,"Alabama","Mobile","Thunderstorm Wind","001097"
199211,NA,"Alabama","Houston","Thunderstorm Wind","001069"
199211,NA,"Alabama","Dale","Thunderstorm Wind","001045"
199211,NA,"Alabama","Henry","Tornado","001067"
199211,NA,"Alabama","Dallas","Thunderstorm Wind","001047"
199211,NA,"Alabama","Mobile","Thunderstorm Wind","001097"
199211,NA,"Alabama","Dekalb","Tornado","001049"
199211,NA,"Alabama","Dekalb","Tornado","001049"
199211,NA,"Alabama","Coosa","Thunderstorm Wind","001037"
199203,NA,"Alabama","Wilcox","Thunderstorm Wind","001131"
199207,NA,"Alabama","Talladega","Thunderstorm Wind","001121"
199207,NA,"Alabama","Dekalb","Thunderstorm Wind","001049"
